order_id,customer_name,gender,country,order_date,product,quantity,price,age
1112,Rohan Mehta,Unknown,UK,14-10-2024,Speaker,1,18733.71,25
1087,Amit Patel,Male,USA,12-10-2024,Tablet,2,48494.64,57
1015,Amit Patel,Male,India,08-10-2023,Mobile,2,20486.89,54
1020,Rahul Sharma,Female,UK,12-04-2023,Laptop,3,18550.25,20
1117,Sneha Rao,Female,USA,08-01-2023,Mobile,5,37174.1,39
1043,Divya Menon,Male,Australia,05-02-2024,Speaker,4,22303.21,39
1040,Sneha Rao,Female,Australia,23-04-2024,Laptop,1,15064.66,43
1051,Priya Singh,Male,India,27-02-2024,Laptop,5,20695.54,32
1050,Suresh Kumar,Female,India,21-08-2023,Keyboard,5,18408.08,49
1012,Rahul Sharma,Female,Australia,07-05-2023,Keyboard,2,9915.34,46
1076,Kavya Nair,Female,Australia,07-12-2023,Monitor,2,37869.69,25
1011,Sneha Rao,Male,USA,14-06-2024,Printer,2,27826.01,60
1062,Kavya Nair,Male,Unknown,28-11-2024,Mobile,2,37830.5,32
1065,Neha Gupta,Male,USA,07-08-2024,Printer,3,2119.46,41
1018,Vikram Joshi,Male,India,07-11-2024,Monitor,5,10926.17,39
1119,Sanjay Verma,Female,India,24-05-2023,Laptop,4,39504.05,29
1002,Neha Gupta,Female,UK,20-06-2023,Printer,1,27826.01,39
1108,Sanjay Verma,Female,USA,16-05-2024,Headphones,4,49800.49,47
1017,Sanjay Verma,Female,USA,26-11-2023,Speaker,5,35325.23,57
1029,Sanjay Verma,Male,India,14-09-2024,Tablet,4,30826.29,50
1082,Anita Desai,Male,UK,15-10-2023,Speaker,5,27938.66,20
1037,Anita Desai,Female,Australia,04-07-2024,Tablet,1,42553.99,49
1030,Arjun Reddy,Male,UK,09-06-2024,Speaker,1,35820.47,33
1107,Rohan Mehta,Male,USA,03-08-2023,Keyboard,4,6564.83,46
1058,Sneha Rao,Female,Australia,11-10-2023,Monitor,1,44995.97,47
1059,Pooja Iyer,Female,UK,19-06-2024,Printer,4,5779.34,42
1098,Neha Gupta,Male,Australia,03-01-2024,Printer,3,25897.76,39
1099,Neha Gupta,Female,India,09-05-2024,Tablet,4,38272.68,54
1096,Karan Malhotra,Female,UK,23-08-2024,Printer,3,48699.32,49
1027,Arjun Reddy,Female,India,01-05-2023,Keyboard,3,11619.71,30
1003,Sneha Rao,Female,India,22-05-2023,Tablet,2,18823.96,31
1033,Sanjay Verma,Male,Australia,05-02-2024,Printer,2,43409.14,29
1070,Priya Singh,Female,USA,04-12-2023,Monitor,4,25524.78,45
1021,Pooja Iyer,Male,USA,26-07-2023,Printer,1,9378.35,39
1080,Suresh Kumar,Female,India,07-03-2023,Headphones,2,5588.82,34
1105,Anita Desai,Male,India,20-11-2023,Monitor,2,38464.47,44
1111,Anita Desai,Female,USA,26-08-2024,Laptop,1,7283.3,39
1035,Rahul Sharma,Male,USA,23-05-2024,Mobile,5,47413.97,47
1010,Sneha Rao,Male,India,02-04-2023,Keyboard,1,4014.16,58
1116,Pooja Iyer,Male,UK,10-01-2024,Printer,3,47753.14,39
1071,Kavya Nair,Female,USA,14-06-2024,Printer,4,36615.82,38
1097,Neha Gupta,Female,USA,15-10-2024,Mobile,3,33215.5,37
1031,Sneha Rao,Unknown,India,13-10-2023,Speaker,4,3582.15,44
1016,Sneha Rao,Female,UK,08-01-2023,Headphones,3,23132.62,22
1114,Suresh Kumar,Male,Australia,16-09-2024,Keyboard,5,16589.95,60
1001,Pooja Iyer,Female,Australia,09-03-2023,Laptop,2,35057.9,39
1106,Karan Malhotra,Female,Australia,15-04-2024,Laptop,2,22260.47,48
1115,Karan Malhotra,Male,UK,25-05-2023,Monitor,5,15275.71,37
1009,Arjun Reddy,Male,Australia,23-05-2024,Printer,2,46481.22,30
1004,Sanjay Verma,Male,USA,10-07-2024,Laptop,3,20357.66,22
1038,Arjun Reddy,Female,UK,09-08-2023,Monitor,3,42659.8,23
1078,Suresh Kumar,Female,Unknown,28-06-2024,Printer,1,23257.84,22
1073,Rahul Sharma,Female,UK,28-02-2024,Keyboard,2,33008.45,32
1094,Pooja Iyer,Male,UK,23-08-2023,Tablet,2,41603.99,39
1034,Divya Menon,Male,Australia,08-11-2023,Laptop,5,3078.24,40
1064,Vikram Joshi,Male,Australia,04-04-2023,Laptop,3,49798.41,25
1061,Neha Gupta,Male,UK,26-09-2024,Tablet,4,9194.18,26
1053,Suresh Kumar,Female,UK,06-12-2024,Speaker,2,22604.1,48
1101,Priya Singh,Male,Unknown,06-06-2023,Monitor,2,35734.55,58
1024,Sanjay Verma,Male,USA,22-12-2023,Laptop,5,46315.97,39
1056,Anita Desai,Unknown,Australia,14-02-2023,Keyboard,3,49872.58,23
1069,Suresh Kumar,Female,USA,14-11-2023,Laptop,1,49930.04,43
1063,Suresh Kumar,Female,India,16-01-2024,Printer,3,5863.13,32
1104,Suresh Kumar,Female,UK,18-02-2023,Monitor,2,31438.61,57
1060,Neha Gupta,Female,India,09-11-2023,Tablet,2,32012.58,57
1019,Divya Menon,Male,UK,18-12-2024,Headphones,3,8498.31,46
1006,Neha Gupta,Female,India,22-12-2023,Monitor,5,43108.6,18
1055,Priya Singh,Male,Australia,11-10-2024,Headphones,1,23739.78,34
1075,Pooja Iyer,Unknown,USA,25-10-2023,Tablet,2,18817.63,38
1000,Arjun Reddy,Female,India,10-03-2024,Keyboard,2,36955.33,52
1044,Amit Patel,Male,USA,20-10-2023,Mobile,5,38339.95,56
1007,Rohan Mehta,Male,USA,11-10-2023,Headphones,5,45675.08,58
1048,Priya Singh,Female,USA,09-03-2024,Headphones,4,26188.71,46
1102,Suresh Kumar,Male,UK,17-07-2024,Mobile,3,20208.92,39
1039,Anita Desai,Male,USA,23-05-2023,Monitor,3,14343.1,56
1008,Rahul Sharma,Male,UK,19-02-2023,Tablet,3,12352.89,33
1090,Rahul Sharma,Female,Australia,11-02-2024,Printer,1,19058.18,19
1042,Neha Gupta,Male,UK,23-09-2023,Keyboard,3,9382.36,18
1110,Sneha Rao,Male,UK,22-10-2023,Speaker,5,14346.17,57
1089,Pooja Iyer,Male,Unknown,27-07-2023,Monitor,4,45312.66,27
1072,Priya Singh,Female,Australia,11-11-2023,Laptop,5,47852.92,53
1014,Vikram Joshi,Female,Australia,19-12-2023,Keyboard,3,11276.19,39
1057,Vikram Joshi,Female,UK,06-03-2023,Keyboard,5,20896.56,29
1092,Karan Malhotra,Male,Australia,10-07-2023,Laptop,5,28964.85,27
1103,Arjun Reddy,Male,UK,27-02-2023,Printer,5,45580.26,21
1023,Divya Menon,Male,UK,02-02-2024,Headphones,5,48145.45,34
1083,Sanjay Verma,Male,UK,17-10-2023,Keyboard,4,49553.81,51
1067,Amit Patel,Male,USA,01-05-2023,Keyboard,3,38831.24,56
1118,Karan Malhotra,Male,USA,11-05-2023,Speaker,4,32701.67,36
1025,Divya Menon,Female,India,05-04-2024,Tablet,4,35011.82,53
1068,Amit Patel,Male,India,24-07-2023,Laptop,2,13635.69,26
1047,Vikram Joshi,Male,UK,18-08-2024,Monitor,4,47162.47,39
